ataque,bits_modulo,parametro_variado,sucesso,tempo_execucao_s,iteracoes,valor_recuperado_confere
wiener,512,d_factor=0.05,True,0.00008503,78,True
wiener,512,d_factor=0.10,True,0.00008468,76,True
wiener,512,d_factor=0.20,True,0.00008821,84,True
wiener,512,d_factor=0.30,True,0.00008224,78,True
wiener,512,d_factor=1.00,True,0.00008076,72,True
wiener,512,d_factor=2.00,False,0.00024661,307,False
wiener,512,d_factor=5.00,False,0.00023145,302,False
fermat,256,gap_bits=16,True,0.00000743,0,True
fermat,255,gap_bits=32,True,0.00000505,0,True
fermat,256,gap_bits=48,True,0.00000409,0,True
fermat,255,gap_bits=56,True,0.00000404,0,True
fermat,255,gap_bits=64,True,0.00000419,0,True
fermat,256,gap_bits=70,True,0.00027561,741,True
fermat,256,gap_bits=72,True,0.00464328,12725,True
fermat,255,gap_bits=74,True,0.08039037,219487,True
hastad,512,e=3;destinatarios=3,True,0.00043964,1,True
hastad,512,e=5;destinatarios=5,True,0.00090330,1,True
